,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chui,-33.6971,-53.4616,58.28,96,24,4.76,UY,1658888781
1,Mlandizi,-6.7,38.7333,66.25,97,10,3.67,TZ,1658888781
2,Port Alfred,-33.5906,26.891,61.18,65,44,5.01,ZA,1658888781
3,Busselton,-33.65,115.3333,55.35,73,100,8.37,AU,1658888782
4,Takoradze,4.8845,-1.7554,74.59,91,93,9.37,GH,1658888782
5,Barrow,71.2906,-156.7887,35.62,93,100,12.66,US,1658888544
6,Poronaysk,49.2167,143.1167,62.98,88,100,8.46,RU,1658888783
7,East London,-33.0153,27.9116,64.9,46,30,8.52,ZA,1658888783
8,Palpa,-14.5336,-75.1856,65.71,65,66,1.7,PE,1658888783
9,Albany,42.6001,-73.9662,65.57,76,0,4.18,US,1658888622
10,Lagoa,39.05,-27.9833,72.68,89,10,11.68,PT,1658888784
11,Auki,-8.7676,160.7034,86.4,60,63,2.71,SB,1658888784
12,Cherskiy,68.75,161.3,53.91,44,26,8.41,RU,1658888785
13,Tomatlán,19.9333,-105.25,79.54,81,100,0.89,MX,1658888696
14,Stephenville,32.2207,-98.2023,95.81,29,40,9.22,US,1658888785
15,Lata,40.1629,-8.3327,54.9,97,12,1.83,PT,1658888786
16,Flinders,-34.5833,150.8552,64.18,47,1,10.0,AU,1658888786
17,Severo-Kuril'sk,50.6789,156.125,55.02,82,98,5.19,RU,1658888787
18,Puerto Ayora,-0.7393,-90.3518,69.55,93,100,4.0,EC,1658888787
19,Kariba,-16.5167,28.8,57.31,70,6,4.21,ZW,1658888787
20,Dikson,73.5069,80.5464,43.34,98,100,23.15,RU,1658888689
21,Fortuna,40.5982,-124.1573,61.93,82,34,5.01,US,1658888788
22,Vao,-22.6667,167.4833,68.81,65,0,9.24,NC,1658888789
23,Mataura,-46.1927,168.8643,48.47,96,100,5.41,NZ,1658888789
24,Rikitea,-23.1203,-134.9692,74.73,74,78,8.55,PF,1658888789
25,Atuona,-9.8,-139.0333,77.13,76,15,16.33,PF,1658888790
26,Geraldton,-28.7667,114.6,59.41,67,0,14.97,AU,1658888790
27,Jamestown,42.097,-79.2353,64.71,53,85,0.72,US,1658888630
28,Port Elizabeth,-33.918,25.5701,59.31,81,0,18.41,ZA,1658888671
29,Punta Arenas,-53.15,-70.9167,32.11,86,0,12.66,CL,1658888656
30,Khuzdar,27.7384,66.6434,73.99,82,100,2.64,PK,1658888791
31,Khatanga,71.9667,102.5,76.68,39,100,12.5,RU,1658888791
32,Vaini,-21.2,-175.2,74.05,72,100,12.62,TO,1658888792
33,New Norfolk,-42.7826,147.0587,54.91,71,94,3.0,AU,1658888792
34,Hilo,19.7297,-155.09,88.29,84,75,6.91,US,1658888515
35,Sakakah,29.9697,40.2064,80.17,15,6,4.5,SA,1658888793
36,Vila Velha,-20.3297,-40.2925,68.95,93,40,0.0,BR,1658888793
37,Parakou,9.3372,2.6303,70.43,98,100,4.74,BJ,1658888794
38,Nanortalik,60.1432,-45.2371,43.39,92,62,1.63,GL,1658888794
39,Tamiahua,21.2667,-97.45,80.78,81,98,6.73,MX,1658888795
40,Bangangté,5.1409,10.5198,60.51,99,99,4.16,CM,1658888795
41,Grand Gaube,-20.0064,57.6608,67.37,76,10,3.0,MU,1658888796
42,Puerto Nariño,-3.7703,-70.3831,72.3,97,6,0.4,CO,1658888796
43,Hobart,-42.8794,147.3294,55.26,65,75,10.36,AU,1658888796
